rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
220,frame_0106.jpg,42.4,0.3285,0.641,0.0,0.04,11,0,False,False
221,frame_0096.jpg,38.4,0.3274,0.4069,0.3333,0.12,10,2,False,False
222,frame_0198.jpg,79.2,0.325,0.3739,0.1667,0.44,4,1,False,False
223,frame_0104.jpg,41.6,0.3234,0.3989,0.3333,0.12,10,2,False,False
224,frame_0101.jpg,40.4,0.321,0.3099,0.5,0.08,10,3,False,False
225,frame_0271.jpg,108.4,0.3209,0.5258,0.1667,0.04,9,1,False,False
226,frame_0269.jpg,107.6,0.3202,0.4245,0.3333,0.04,10,2,False,False
227,frame_0224.jpg,89.6,0.3187,0.3895,0.3333,0.12,12,2,False,False
228,frame_0010.jpg,4.0,0.3155,0.2309,0.0,1.0,9,0,False,False
229,frame_0184.jpg,73.6,0.3155,0.499,0.1667,0.08,10,1,False,False
230,frame_0306.jpg,122.4,0.3141,0.5323,0.0,0.24,8,0,False,False
231,frame_0367.jpg,146.8,0.3135,0.495,0.1667,0.08,15,1,False,False
232,frame_0091.jpg,36.4,0.3123,0.3965,0.1667,0.32,8,1,False,False
233,frame_0197.jpg,78.8,0.3114,0.3628,0.1667,0.4,5,1,False,False
234,frame_0123.jpg,49.2,0.3085,0.2609,0.1667,0.64,10,1,False,False
235,frame_0196.jpg,78.4,0.3046,0.4653,0.0,0.36,4,0,False,False
236,frame_0190.jpg,76.0,0.299,0.45,0.1667,0.12,9,1,False,False
237,frame_0279.jpg,111.6,0.2983,0.3526,0.1667,0.36,8,1,False,False
238,frame_0304.jpg,121.6,0.2971,0.3662,0.1667,0.32,10,1,False,False
239,frame_0111.jpg,44.4,0.2921,0.4202,0.1667,0.16,11,1,False,False
240,frame_0122.jpg,48.8,0.2877,0.2353,0.1667,0.6,11,1,False,False
241,frame_0103.jpg,41.2,0.2863,0.4086,0.1667,0.16,9,1,False,False
242,frame_0221.jpg,88.4,0.2847,0.3734,0.1667,0.24,10,1,False,False
243,frame_0275.jpg,110.0,0.2838,0.2877,0.3333,0.2,14,2,False,False
244,frame_0118.jpg,47.2,0.2801,0.3842,0.0,0.44,10,0,False,False
245,frame_0389.jpg,155.6,0.2779,0.5077,0.0,0.12,15,0,False,False
246,frame_0009.jpg,3.6,0.2753,0.1507,0.0,1.0,6,0,False,False
247,frame_0394.jpg,157.6,0.2739,0.4158,0.1667,0.08,10,1,False,False
248,frame_0199.jpg,79.6,0.2709,0.2497,0.1667,0.48,4,1,False,False
249,frame_0226.jpg,90.4,0.2709,0.4257,0.1667,0.04,9,1,False,False
250,frame_0100.jpg,40.0,0.2556,0.3951,0.1667,0.04,9,1,False,False
251,frame_0195.jpg,78.0,0.2385,0.349,0.0,0.32,6,0,False,False
252,frame_0094.jpg,37.6,0.2265,0.373,0.0,0.2,10,0,False,False
253,frame_0311.jpg,124.4,0.1951,0.2741,0.1667,0.04,12,1,False,False
254,frame_0272.jpg,108.8,0.1886,0.3452,0.0,0.08,11,0,False,False
255,frame_0313.jpg,125.2,0.1752,0.2344,0.1667,0.04,8,1,False,False
256,frame_0183.jpg,73.2,0.1573,0.2985,0.0,0.04,6,0,False,False
